simulation,halo_0_stellar_mass,stellar_mass_perc,jeans_pred_total_mass,actual_total_mass,actual_gas_mass,actual_dm_mass,actual_star_mass
m10r_res250md,204917.71875,0.1,7.57e+06,2.68e+06,1.48e+05,2.51e+06,2.06e+04
m10r_res250md,204917.71875,0.2,1.13e+07,6.74e+06,3.09e+05,6.39e+06,4.10e+04
m10r_res250md,204917.71875,0.3,1.50e+07,1.13e+07,4.68e+05,1.08e+07,6.16e+04
m10r_res250md,204917.71875,0.4,1.97e+07,1.78e+07,6.70e+05,1.70e+07,8.20e+04
m10r_res250md,204917.71875,0.5,2.49e+07,2.83e+07,9.26e+05,2.72e+07,1.03e+05
m10r_res250md,204917.71875,0.6,3.69e+07,4.76e+07,1.27e+06,4.62e+07,1.23e+05
m10r_res250md,204917.71875,0.7,7.68e+07,1.32e+08,1.82e+06,1.30e+08,1.44e+05
m10r_res250md,204917.71875,0.8,1.99e+08,3.77e+08,2.36e+06,3.74e+08,1.64e+05
m10r_res250md,204917.71875,0.9,7.46e+08,1.40e+09,4.99e+06,1.40e+09,1.85e+05

m10q_res250md,2819340.0,0.1,1.83e+07,6.27e+06,0,5.99e+06,2.82e+05
m10q_res250md,2819340.0,0.2,2.94e+07,1.60e+07,0,1.54e+07,5.64e+05
m10q_res250md,2819340.0,0.3,3.98e+07,2.96e+07,5.43e+02,2.87e+07,8.46e+05
m10q_res250md,2819340.0,0.4,5.15e+07,4.76e+07,2.16e+03,4.65e+07,1.13e+06
m10q_res250md,2819340.0,0.5,6.68e+07,7.57e+07,4.36e+03,7.42e+07,1.41e+06
m10q_res250md,2819340.0,0.6,9.07e+07,1.23e+08,4.35e+04,1.21e+08,1.69e+06
m10q_res250md,2819340.0,0.7,1.30e+08,2.08e+08,5.63e+05,2.06e+08,1.97e+06
m10q_res250md,2819340.0,0.8,2.00e+08,3.78e+08,2.01e+06,3.74e+08,2.26e+06
m10q_res250md,2819340.0,0.9,3.97e+08,8.79e+08,7.04e+06,8.70e+08,2.54e+06
